Project,Activity,Start,Stop,Time
mimblewimble-py,Working on the SlatepackBuilder,2022-07-06 11:38:14,2022-07-06 12:25:15,00:47:01
,Implementing the mnemonic phrase codec,2022-07-10 13:44:07,2022-07-10 15:40:18,01:56:11
,Implementing the mnemonic phrase codec,2022-07-07 10:22:11,2022-07-07 11:50:18,01:28:07
,Working on the wallet classes,2022-07-06 16:41:48,2022-07-06 17:45:53,01:04:06
,Reviewing our old code and current grinplusplus code,2022-07-03 16:53:51,2022-07-03 17:19:11,00:25:20
,Analysis of the send slate builder code,2022-07-03 17:21:13,2022-07-03 17:37:54,00:16:42
,Analysis of the wallet manager code and designing architecture for mimblewimble-py library,2022-07-03 17:38:13,2022-07-03 17:46:16,00:08:03
grin-study,Learning about slatepacks,2022-06-29 10:05:17,2022-06-29 10:17:58,00:12:42
grin-telegram-bot,Implementing the bot commands,2022-07-05 13:25:01,2022-07-05 14:33:53,01:08:53
,Implementing the bot commands,2022-07-03 13:52:33,2022-07-03 16:28:02,02:35:30
,Starting up,2022-06-28 09:06:21,2022-06-28 09:38:28,00:32:07
,Implementing the bot commands,2022-07-06 12:34:31,2022-07-06 13:22:31,00:48:01
,Implementing the bot commands,2022-07-07 15:15:43,2022-07-07 16:27:56,01:12:14
Total,,,,12:34:57
