Project,Activity,Start,Stop,Time
mimblewimble-py,Studying grin++ code on how scanning for new outputs works,2022-08-14 16:06:20,2022-08-14 16:25:59,00:19:39
,Fixing wallet seed decryption bug causing incorrect slatepack address derivation,2022-08-19 11:19:52,2022-08-19 11:26:58,00:07:06
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-09-02 19:58:40,2022-09-02 21:25:49,01:27:09
,Studying grin++ code on how scanning for new outputs works,2022-08-19 11:27:02,2022-08-19 13:00:56,01:33:55
,Cleaning-up the repo and writing some docs,2022-08-10 19:31:50,2022-08-10 19:51:40,00:19:51
,Researching on how to build coinbase,2022-08-30 16:46:41,2022-08-30 18:24:47,01:38:07
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-08-31 13:22:44,2022-08-31 15:00:20,01:37:37
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-09-01 14:40:27,2022-09-01 15:01:35,00:21:09
,Researching SRS transaction builder code and slatepack types,2022-08-21 13:13:32,2022-08-21 14:10:23,00:56:51
,Studying grin++ code on how scanning for new outputs works,2022-08-19 10:54:24,2022-08-19 11:19:30,00:25:07
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-08-31 16:14:26,2022-08-31 17:50:34,01:36:08
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-08-31 19:51:17,2022-08-31 20:42:17,00:51:00
,Building a Python wrapper for MW fork of secp256k1-zkp,2022-09-01 15:13:39,2022-09-01 15:45:23,00:31:44
grin-telegram-bot,Working on the OOP design,2022-08-13 10:32:05,2022-08-13 12:14:43,01:42:39
,Implementing tests of the deposit message exchange,2022-08-28 11:42:25,2022-08-28 12:41:06,00:58:42
,Working on the unit tests for slateboy,2022-09-06 16:19:48,2022-09-06 18:13:54,01:54:07
,Implementing tests of the deposit message exchange,2022-08-24 17:34:24,2022-08-24 18:10:04,00:35:40
,Documenting,2022-09-09 12:58:12,2022-09-09 13:38:30,00:40:18
,Working on the unit tests for slateboy,2022-09-04 14:58:34,2022-09-04 15:56:12,00:57:38
,Working on the OOP design,2022-08-13 13:09:16,2022-08-13 15:02:41,01:53:26
,Working on the OOP design and tests,2022-08-17 14:51:22,2022-08-17 16:30:12,01:38:50
,Working on the OOP design and tests,2022-08-18 15:24:42,2022-08-18 16:04:20,00:39:38
,Working on the OOP design and tests,2022-08-18 13:42:22,2022-08-18 14:54:35,01:12:13
,Implementing tests of the deposit message exchange,2022-08-29 09:30:53,2022-08-29 11:10:09,01:39:16
,Working on the OOP design,2022-08-15 10:02:54,2022-08-15 12:09:12,02:06:18
,Working on the OOP design,2022-08-14 13:29:35,2022-08-14 15:02:03,01:32:28
,Working on the OOP design,2022-08-15 13:26:10,2022-08-15 14:49:29,01:23:20
,Working on the unit tests for slateboy,2022-09-04 11:47:56,2022-09-04 12:14:08,00:26:12
,Working on the OOP design,2022-08-17 12:11:25,2022-08-17 13:08:37,00:57:12
grin-contributions,Contributing to grinmw.py implementing remaining API methods,2022-08-20 11:47:29,2022-08-20 13:34:04,01:46:36
,Reading about NRD kernels to resolve changes requested by Tromp,2022-08-24 14:44:41,2022-08-24 15:18:11,00:33:30
,Resolving comments from Tromp,2022-08-25 16:40:55,2022-08-25 16:51:35,00:10:40
,Documenting the block body for the GRIN wiki,2022-08-21 12:09:03,2022-08-21 12:43:47,00:34:45
rfcs,Responding to Anonymous - another iteration of the auth slates RFC,2022-08-24 15:30:55,2022-08-24 16:22:40,00:51:45
Total,,,,36:0:36
